"","X1","subID","subject"
"1",1,"02030418",0
"2",1115,"03041818",1
"3",2095,"16092718",10
"4",2850,"14974774",11
"5",3599,"43791947",12
"6",4143,"14527187",13
"7",5142,"16524385",14
"8",6402,"19234757",15
"9",7532,"19391247",16
"10",8348,"19471995",17
"11",9529,"19738647",18
"12",10630,"17471852",19
"13",11458,"06062118",2
"14",12640,"14560987",20
"15",13438,"19524785",21
"16",14418,"060818",3
"17",15537,"08062718",4
"18",16720,"hm040118",5
"19",17592,"13090518",6
"20",18473,"060718",7
"21",19614,"14092118",8
"22",20570,"15092618",9
